"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-01-08 02:53:00",12.2,-5.12,29.7
"2025-01-08 03:53:00",10.6,-3.42,37.52
"2025-01-08 04:53:00",10,-2.92,40.53
"2025-01-08 05:53:00",10,-2.92,40.53
"2025-01-08 06:53:00",10,-2.92,40.53
"2025-01-08 07:53:00",9.4,-2.31,44.12
"2025-01-08 08:53:00",11.7,-2.31,37.85
"2025-01-08 09:53:00",13.9,-2.91,31.35
"2025-01-08 10:53:00",15,-2.9,29.2
"2025-01-08 11:53:00",16.1,-2.89,27.22
"2025-01-08 12:53:00",16.7,-3.38,25.24
"2025-01-08 13:53:00",17.8,-2.87,24.44
"2025-01-08 14:53:00",18.3,-3.37,22.82
"2025-01-08 15:53:00",17.2,-1.78,27.54
"2025-01-08 16:53:00",15,-0.7,34.34
"2025-01-08 17:53:00",12.8,-0.7,39.61
"2025-01-08 18:53:00",10,0.51,52.01
"2025-01-08 19:53:00",8.3,0.51,58.32
"2025-01-08 20:53:00",6.1,-0.08,64.92
"2025-01-08 21:53:00",5.6,0.53,70.19
"2025-01-08 22:53:00",6.1,-0.08,64.92
"2025-01-08 23:53:00",5,-0.07,70.06
"2025-01-09 00:53:00",5,-0.07,70.06
"2025-01-09 01:53:00",3.3,-0.66,75.57
"2025-01-09 02:53:00",3.3,-0.66,75.57
"2025-01-09 03:53:00",3.9,-0.66,72.44
"2025-01-09 04:53:00",7.2,1.03,65.17
"2025-01-09 05:53:00",6.7,0.52,65.05
"2025-01-09 06:53:00",11.7,1.01,48.16
"2025-01-09 07:53:00",11.7,0.5,46.46
"2025-01-09 08:53:00",12.8,1,44.8
"2025-01-09 09:53:00",16.7,-0.68,30.81
"2025-01-09 10:53:00",18.9,-2.26,23.85
"2025-01-09 11:53:00",21.1,-2.83,19.91
"2025-01-09 12:53:00",20,-0.05,26.18
"2025-01-09 13:53:00",20,1.04,28.34
"2025-01-09 14:53:00",20,1.04,28.34
"2025-01-09 15:53:00",19.4,2.14,31.83
"2025-01-09 16:53:00",17.2,1.02,33.77
"2025-01-09 17:53:00",14.4,1.61,42.16
"2025-01-09 18:53:00",12.2,2.11,50.42
"2025-01-09 19:53:00",13.3,0.5,41.83
"2025-01-09 20:53:00",13.9,-0.7,36.87
"2025-01-09 21:53:00",10,0.51,52.01
"2025-01-09 22:53:00",13.3,-0.7,38.34
"2025-01-09 23:53:00",12.2,-0.1,43.04
"2025-01-10 00:53:00",8.3,0.51,58.32
"2025-01-10 01:53:00",7.8,0.52,60.34
"2025-01-10 02:53:00",8.3,1.02,60.46
"2025-01-10 03:53:00",7.8,1.02,62.55
"2025-01-10 04:53:00",5.6,1.04,72.76
"2025-01-10 05:53:00",5.6,0.53,70.19
"2025-01-10 06:53:00",4.4,0.55,76.31
"2025-01-10 07:53:00",5,1.65,79.2
"2025-01-10 08:53:00",8.3,2.74,68.28
"2025-01-10 09:53:00",10,2.72,60.89
"2025-01-10 10:53:00",13.3,2.72,48.97
"2025-01-10 11:53:00",16.1,3.22,42.36
"2025-01-10 12:53:00",19.4,3.24,34.42
"2025-01-10 13:53:00",20.6,1.65,28.52
"2025-01-10 14:53:00",20.6,2.15,29.56
"2025-01-10 15:53:00",18.9,2.74,34.27
"2025-01-10 16:53:00",16.1,2.72,40.88
"2025-01-10 17:53:00",13.9,2.71,47.09
"2025-01-10 18:53:00",11.1,3.22,58.63
"2025-01-10 19:53:00",11.1,7.76,80.11
"2025-01-10 20:53:00",10,7.17,82.74
"2025-01-10 21:53:00",8.3,7.19,92.78
"2025-01-10 22:53:00",7.8,6.69,92.75
"2025-01-10 23:53:00",6.7,4.37,85.25
"2025-01-11 00:53:00",5.6,4.38,91.98
"2025-01-11 01:53:00",5,3.88,92.59
"2025-01-11 02:53:00",4.4,3.28,92.55
"2025-01-11 03:53:00",5,3.27,88.75
"2025-01-11 04:53:00",11.1,1.61,52.32
"2025-01-11 05:53:00",10.6,-1.21,44.15
"2025-01-11 06:53:00",11.7,-3.42,34.88
"2025-01-11 07:53:00",12.2,-5.72,28.37
"2025-01-11 08:53:00",13.9,-5.71,25.39
"2025-01-11 09:53:00",15,-6.19,22.77
"2025-01-11 10:53:00",16.1,-6.18,21.22
"2025-01-11 11:53:00",17.2,-6.77,18.9
"2025-01-11 12:53:00",17.8,-8.35,16.07
"2025-01-11 13:53:00",19.4,-7.23,15.84
"2025-01-11 14:53:00",18.9,-8.92,14.32
"2025-01-11 15:53:00",18.3,-12.21,11.43
"2025-01-11 16:53:00",16.7,-10.65,14.37
"2025-01-11 17:53:00",14.4,-8.4,19.96
"2025-01-11 18:53:00",13.9,-8.4,20.62
"2025-01-11 19:53:00",15,-10.68,16.02
"2025-01-11 20:53:00",14.4,-10.09,17.47
"2025-01-11 21:53:00",14.4,-9.49,18.31
"2025-01-11 22:53:00",14.4,-9.49,18.31
"2025-01-11 23:53:00",13.9,-10.09,18.04
"2025-01-12 00:53:00",13.3,-9.5,19.67
"2025-01-12 01:53:00",13.3,-9,20.46
"2025-01-12 02:53:00",10.6,-7.93,26.63
"2025-01-12 03:53:00",9.4,-7.33,30.23
"2025-01-12 04:53:00",12.2,-8.42,23.04
"2025-01-12 05:53:00",12.2,-9.02,21.98
"2025-01-12 06:53:00",10.6,-7.33,27.9
"2025-01-12 07:53:00",10.6,-6.83,28.99
"2025-01-12 08:53:00",12.2,-5.72,28.37
"2025-01-12 09:53:00",14.4,-5.1,25.73
"2025-01-12 10:53:00",15.6,-6.79,20.92
"2025-01-12 11:53:00",16.1,-4.49,24.14
"2025-01-12 12:53:00",16.7,-5.68,21.22
"2025-01-12 13:53:00",17.2,-5.07,21.52
"2025-01-12 14:53:00",16.7,-3.38,25.24
"2025-01-12 15:53:00",15.6,-2.89,28.1
"2025-01-12 16:53:00",13.9,-2.3,32.78
"2025-01-12 17:53:00",11.1,-1.21,42.71
"2025-01-12 18:53:00",9.4,-1.21,47.84
"2025-01-12 19:53:00",7.8,-1.81,51.01
"2025-01-12 20:53:00",5,-1.79,61.87
"2025-01-12 21:53:00",5,-1.79,61.87
"2025-01-12 22:53:00",4.4,-1.78,64.52
"2025-01-12 23:53:00",3.9,-1.78,66.82
"2025-01-13 00:53:00",4.4,-0.67,69.94
"2025-01-13 01:53:00",3.9,-1.17,69.83
"2025-01-13 02:53:00",4.4,-1.78,64.52
"2025-01-13 03:53:00",4.4,-0.06,73.06
"2025-01-13 04:53:00",5,0.54,73.18
"2025-01-13 05:53:00",5.6,-0.07,67.2
"2025-01-13 06:53:00",5.6,1.65,75.97
"2025-01-13 07:53:00",6.1,-0.68,62.14
"2025-01-13 08:53:00",8.9,-1.81,47.35
"2025-01-13 09:53:00",11.7,-4.02,33.35
"2025-01-13 10:53:00",12.8,-4.01,31.02
"2025-01-13 11:53:00",13.9,-4,28.88
"2025-01-13 12:53:00",14.4,-4,27.96
"2025-01-13 13:53:00",15,-4.5,25.9
"2025-01-13 14:53:00",15,-3.4,28.13
"2025-01-13 15:53:00",13.9,-3.41,30.2
